trade_date,close,pct_chg,vol,ema24,ma120,ma250,rise,fall,rise_limit,fall_limit,rise_limit_count,ema24_up,ma120_up,north_money,pct_chg_v,vol_5,vol_v,ema24_on_v,ma120_on_v,ma250_on_v,rise_fall_v,rise_limit_fall_limit_v,rise_limit_count_5,rise_limit_count_v,ema24_up_5,ema24_up_v,ma120_up_5,ma120_up_v,north_money_5,north_money_v1,north_money_v,v,v_5
20170912,3379.488,0.0909,272910319.0,3332.47,3209.8,3179.15,948,2101,29,4,18,2231,1251,2571.5,0.3,228107198.4,3.5999999999999996,5,4,3,-1.1400000000000001,2.2800000000000002,15.6,3.4499999999999997,2320.2,3.84,1210.4,3.09,1318.4359999999992,1.95,4.0,2.9,2.8
20170911,3376.4188,0.3321,219011019.0,3328.38,3208.82,3177.88,2183,833,58,0,16,2402,1275,2128.58,1.1,216835723.8,3.0300000000000002,5,4,3,1.35,3.0,14.4,3.33,2359.8,4.08,1187.6,3.21,1015.857999999999,2.1,4.0,3.2,2.7
20170908,3365.2426,-0.0076,198405184.0,3324.2,3207.77,3176.72,1549,1449,36,0,15,2261,1179,567.0,-0.05,226519089.8,2.64,5,4,3,0.09,3.0,14.8,3.0300000000000002,2370.0,3.8,1156.2,3.06,974.8759999999991,0.58,1.7399999999999998,2.7,2.6
20170907,3365.4974,-0.5876,221118685.0,3320.63,3206.71,3175.55,1041,1983,36,0,13,2289,1151,1033.47,-1.9500000000000002,243337569.8,2.73,5,4,3,-0.9299999999999999,3.0,16.0,2.43,2402.8,3.8,1128.6,3.06,1728.075999999999,0.6,1.7999999999999998,2.4,2.7
20170906,3385.3888,0.0317,229090785.0,3316.73,3205.9,3174.37,1595,1427,49,1,16,2418,1196,291.630000000001,0.1,245997789.0,2.79,5,4,3,0.18,2.88,17.4,2.7600000000000002,2405.6,4.04,1091.2,3.3000000000000003,1916.5379999999993,0.15,0.44999999999999996,2.6,2.8
20170905,3384.317,0.1401,216552946.0,3310.76,3204.7,3173.11,1380,1640,31,6,12,2429,1137,1058.61,0.44999999999999996,249552294.4,2.61,5,4,3,-0.27,2.04,18.0,2.0100000000000002,2380.4,4.08,1038.2,3.3000000000000003,2545.3399999999992,0.42,1.26,2.5,2.8
20170904,3379.583,0.3702,267427849.0,3304.37,3203.5,3171.85,1665,1346,43,8,18,2453,1118,1923.67,1.25,250142612.2,3.21,5,4,3,0.33,2.07,20.6,2.61,2346.2,4.2,988.4,3.3899999999999997,2700.061999999999,0.71,2.13,2.8,2.9
20170901,3367.1194,0.1877,282497584.0,3297.83,3202.31,3170.67,1812,1209,48,1,21,2425,1041,4333.0,0.65,248149330.0,3.42,5,4,3,0.6000000000000001,2.88,23.0,2.73,2339.0,4.16,949.6,3.3000000000000003,3088.6459999999993,1.4,4.0,3.1,3.1
20170831,3360.8103,-0.0837,234419781.0,3291.8,3201.02,3169.56,1844,1128,53,0,20,2303,964,1975.78,-0.3,232817709.6,3.0300000000000002,5,4,3,0.72,3.0,22.4,2.67,2237.6,4.12,900.4,3.21,2855.845999999999,0.69,2.07,2.8,3.2
20170830,3363.6266,-0.0475,246863312.0,3285.8,3199.82,3168.46,1441,1531,40,0,19,2292,931,3435.64,-0.15,218627540.8,3.3899999999999997,5,4,3,-0.09,3.0,22.4,2.55,2034.6,4.52,848.2,3.3000000000000003,2730.681999999999,1.26,3.7800000000000002,2.9,3.2
20170829,3365.2261,0.0766,219504535.0,3279.03,3198.8,3167.44,1190,1802,41,1,25,2258,888,1832.22,0.25,205221320.0,3.21,5,4,3,-0.6000000000000001,2.8499999999999996,21.6,3.4799999999999995,1906.6,4.72,813.6,3.2700000000000005,2043.553999999999,0.9,2.7,2.9,3.1
20170828,3362.6514,0.9344,257461438.0,3271.54,3197.77,3166.39,2698,349,71,1,30,2417,924,3866.59,3.1,198628011.2,3.9000000000000004,5,4,3,2.31,2.91,19.6,4.59,1834.0,5.28,795.0,3.4799999999999995,1697.6419999999991,2.28,4.0,3.8,3.0
20170825,3331.5221,1.8343,205839482.0,3263.61,3196.7,3165.38,2740,302,58,1,18,1918,795,3169.0,6.1,184360220.2,3.3600000000000003,5,4,3,2.4000000000000004,2.91,16.0,3.3600000000000003,1792.8,4.28,780.2,3.06,979.9579999999987,3.23,4.0,3.8,3.0
